1, 10, 3.2900000000000003E-006
1, 25, 5.0866666666666657E-006
1, 50, 1.1923333333333335E-005
1, 100, 3.3283333333333327E-005
5, 10, 6.1066666666666678E-006
5, 25, 1.3906666666666668E-005
5, 50, 4.1303333333333328E-005
5, 100, 1.4385666666666668E-004
10, 10, 9.9533333333333335E-006
10, 25, 2.6323333333333333E-005
10, 50, 7.9863333333333311E-005 
10, 100, 2.7919666666666664E-004
25, 10, 2.0936666666666666E-005
25, 25, 5.9733333333333326E-005
25, 50, 2.0209666666666664E-004
25, 100, 7.0139666666666660E-004
50, 10, 4.2963333333333322E-005
50, 25, 1.2065333333333333E-004
50, 50, 4.0465666666666662E-004
50, 100, 1.4926499999999999E-003
